type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6
white,5.23,0.36,0.21,6.7,0.038,118.17,166,0.9941,3.22,0.63,12.33,6
white,5.45,0.34,0.21,6.6,0.23,50,167,0.9941,3.29,0.62,10,5
white,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.36,0.44,9.1,6
white,11.8,0.25,0.34,4.7,0.031,17.7,134,1.02,3.21,0.38,10.6,6
white,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,9.48,5
white,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
white,6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.79,0.76,10.1,6
white,6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.77,10.3,7
white,6.6,0.24,0.65,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
white,6.8,0.25,1.08,4.7,0.26,34,134,0.99,2.99,0.38,10.6,6
white,6.8,0.28,0.22,9.3,0.031,177.87,137,0.9946,3.16,0.36,10.4,6
white,8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
white,14.67,0.46,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
white,7.9,0.26,0.41,15.15,0.04,275.03,216,0.9976,2.96,0.6,10,6
white,6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6
white,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,14.42,6
white,7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.45,0.51,14.67,5
white,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
white,6.8,0.24,0.34,4.6,0.032,37,135,1.04,3.2,0.39,10.6,5
white,6.3,0.23,0.3,1.8,0.033,66.61,91,0.9906,3.28,0.4,11.8,6
white,6.5,0.28,1.36,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5
white,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
white,6.3,0.23,0.49,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
white,6.3,0.23,0.33,1.5,0.036,62.35,105,0.99,3.83,0.42,11.61,6
white,5.8,0.27,0.61,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6
white,5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
white,6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.7,0.85,10.2,7
white,7.4,0.2,0.43,7.8,0.045,199.87,153,0.9964,3.19,0.55,9,7
white,8,0.24,0.36,5.47,0.047,17,129,0.9948,3.2,0.54,10,6
white,6.4,0.68,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,10.94,6
white,5.4,0.31,0.47,3,0.053,46,144,1.03,3.29,0.76,10,5
white,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
white,7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6
white,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7
white,6.7,1.22,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6
white,7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
white,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5
white,6.3,0.47,0.36,2.1,0.044,73.42,146,0.9914,3.27,0.74,11.4,7
white,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
white,5.5,0.335,0.3,2.5,0.071,27,266.76,0.9924,3.14,0.69,9.6,6
white,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
white,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
white,9.55,0.22,0.37,14.3,0.063,77.63,241.92,0.9978,2.89,0.98,9,6
white,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
white,6.1,0.46,0.33,1.1,0.05,24,239.67,0.9927,3.15,0.78,9.5,6
white,10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6
white,7.43,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,13.2,6
white,6.4,0.24,0.32,26.25,0.047,54,162,0.9968,3.28,0.5,10.2,6
white,7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,1.82,8.9,5
white,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
white,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
white,6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7
white,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
white,6,0.18,0.27,4.28,0.089,40,143,0.9923,3.49,0.62,10.8,6
white,6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
white,,0.29,0.48,2.3,0.049,36,178,1.01,3.17,0.64,10.6,6
white,7.1,0.39,1.48,12.5,0.044,26,95.09,0.9941,3.17,1.37,11.6,5
white,6.9,0.33,0.21,1,0.053,39,148,0.9927,2.93,0.45,9.4,6
white,7.7,0.96,0.48,2.3,0.01,36,178,0.9931,3.17,0.64,10.6,6
white,6.6,0.905,0.19,0.8,0.048,17,384.84,0.9934,3.34,0.56,10,5
white,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,1.09,9.2,6
white,5.1,0.22,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
white,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
white,6.4,0.31,0.28,34.52,0.037,12,119,1.01,3.32,0.51,10.4,7
white,7.3,0.2,0.44,1.4,0.045,21,98,1.01,3.15,0.46,10,7
white,5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6
white,6.4,0.31,0.28,1.5,0.037,159.03,119,0.9919,3.32,0.51,10.4,7
white,8.72,0.2,0.73,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
white,7.2,0.28,0.26,13.35,0.046,71.69,179,0.9975,3.1,0.52,9,6
white,7.5,0.78,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6
white,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
white,6,0.62,0.39,3.2,0.027,20,375.79,0.991,3.38,0.39,11.3,7
white,5.1,0.33,0.55,1.6,0.42,18,89,0.9893,3.51,0.38,12.5,7
white,5,0.47,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
white,6.3,0.39,0.35,5.9,0.33,82.5,290.08,0.9941,3.12,0.66,10.1,5
white,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
red,7,1.15,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
white,7,1.15,1.09,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
white,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
white,6.1,0.55,0.15,4.76,0.031,19,125,0.9957,3.36,0.47,10.2,6
white,11.81,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
white,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
white,11.3,0.27,0.12,56.92,0.04,87,342.99,0.992,3.18,0.41,10,5
white,8.2,0.28,0.42,1.8,0.031,30,197.38,0.9917,3.09,0.39,11.4,5
white,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.03,0.5,11.4,6
white,8.08,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
white,6.4,0.19,1.46,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6
white,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
red,6.8,0.37,1.48,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
white,14.58,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5
white,7.1,0.27,0.31,18.2,0.046,55,31.35,1,3.07,0.75,8.7,5
white,6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,9.34,6
white,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
red,5.8,0.28,0.34,4,0.031,30.92,99,0.9896,3.39,0.39,12.8,7
white,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,11.99,5
white,11.03,0.14,0.39,1.2,0.044,26,246.49,0.992,3.26,0.97,10.3,6
white,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
white,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
white,7.3,0.28,0.36,12.7,0.59,38,140,0.998,3.3,0.79,9.6,6
white,7.2,0.19,0.45,1.2,0.036,32,85,1.04,3.16,0.5,10.5,5
white,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
white,7.2,0.25,0.39,22.29,0.038,42,242.07,0.9999,2.97,0.47,9,6
white,7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,1.88,9.6,6
red,7.4,0.21,0.27,61.33,0.041,27,99,0.9927,3.19,0.33,9.8,6
white,6.8,0.26,0.22,7.7,0.047,268.23,210,1.01,3.1,0.47,9,5
white,7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.6,8.75,6
white,7.4,0.31,0.28,1.6,0.21,33,137,0.9929,4.01,0.56,10.5,6
white,7,0.22,0.54,59.38,0.03,41,136,0.9898,3.16,0.37,12.7,7
white,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.4,10.4,6
white,7,0.21,0.28,8.6,0.27,37,11.93,0.9954,3.25,0.54,10.4,6
white,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,13.5,6
white,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7
white,7,0.21,0.28,8.7,0.045,37,222,0.9954,2.89,0.54,10.4,6
white,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
white,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
white,7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
white,10.03,0.31,1.15,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
white,6.8,0.29,0.5,32.7,0.053,48,194,0.9974,3.09,0.45,9.4,5
white,6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.81,9.8,5
white,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
white,7.2,1.54,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4
white,7,0.23,0.36,7.1,0.028,31,47.28,0.9922,3.35,0.47,14.2,8
white,6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,11.57,7
white,6.1,0.28,0.32,2.5,0.042,23,117.68,0.9935,3.27,0.6,9.8,5
white,6.6,0.16,0.32,1.4,0.035,44.01,186,0.9906,3.35,0.64,12.4,8
white,7.4,0.155,0.34,,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
white,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,8.6,5
white,6.7,0.22,0.37,1.6,0.25,24,102,0.9913,,0.4,11.6,7
white,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,1.32,10.4,6
white,6,0.25,0.28,2.2,0.026,54,126,1.03,3.43,0.65,12.9,8
white,6.6,0.52,0.44,39.56,0.048,54,245,0.9975,3.26,0.54,9.3,6
white,6.9,0.24,0.36,20.8,0.24,40,139,0.9975,3.2,0.33,11,6
white,7.1,0.32,1.04,11,0.41,16,66,0.9937,3.24,0.4,11.5,3
white,5.8,0.28,0.27,2.6,0.054,42.12,156,0.9914,3.53,0.42,12.4,5
white,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
white,8.29,0.41,0.41,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
white,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
white,7.2,1.02,0.2,9.9,0.07,21,174,1.03,3.03,0.54,9.1,5
white,6.1,0.43,0.25,1.2,0.038,71.59,128,0.9921,3.24,0.93,10.1,5
white,5.9,0.46,0.14,2.7,0.042,27,313.28,0.9931,3.46,0.51,10.6,7
white,6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7
white,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.41,7
white,6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
white,6.3,0.23,0.92,38.42,0.03,11,82,0.9892,3.3,0.4,12.9,7
white,7.1,0.21,0.27,8.6,0.056,189.8,111,0.9956,2.95,0.52,9.5,5
white,6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
white,6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
white,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
white,7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
white,5.9,0.25,0.53,59.09,0.047,50,162,0.9973,3.35,0.38,9.5,5
white,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
white,7.2,0.39,0.62,11,0.047,66,178,1,3.16,0.5,8.7,5
white,6.3,0.21,1.61,10,0.2,34,120.33,0.9962,2.95,0.46,8.9,5
white,7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6
white,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
white,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
white,7.2,0.56,0.53,18.15,0.047,59,182,1.02,3.09,0.52,9.6,5
white,8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.49,6
white,5,0.38,1.5,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
white,6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6
white,7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7
white,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,11.49,6
white,7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5
white,7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
white,7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6
white,7.1,0.62,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
white,6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6
white,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
white,5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
white,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,1.89,9.5,5
white,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
white,6.2,1.13,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
white,6.2,0.18,0.38,1.5,0.028,36,54.56,1.02,3.47,0.54,9.7,6
white,8.67,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6
white,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
white,7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6
white,7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6
white,7,0.28,0.36,1,0.035,8,70,0.9899,3.95,0.46,12.1,6
white,12.59,0.23,0.39,1.6,0.032,12,11.54,0.9898,3.25,0.4,12.7,7
white,7.8,0.58,1.06,8.9,0.039,88.8,308.38,0.996,3.18,0.46,9.9,6
white,6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6
white,11.57,0.2,0.38,4.7,0.04,27,103,1.02,3.37,0.58,10.7,6
white,5.7,0.44,0.13,7,0.025,217.8,173,0.9913,3.33,0.48,12.5,6
white,7.2,0.4,0.62,10.8,0.1,70,189,0.9976,3.08,0.49,8.6,4
white,6.8,0.23,0.32,1.6,0.026,211.81,420.19,0.9904,3.85,0.54,12.5,6
white,5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,14.79,5
white,13.73,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
white,7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.99,0.49,9.5,6
white,6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
white,14.61,0.3,0.04,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6
white,6.5,0.3,0.29,2.25,0.2,8,113.74,0.9937,3.19,0.62,9.9,5
white,7.8,1.46,0.31,12.2,0.053,46,140,0.998,3.06,0.53,11.18,6
white,7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
white,6.7,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
white,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
red,5.9,0.62,0.28,27.5,0.039,55,152,0.9907,3.44,0.44,8.04,6
white,9.86,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
white,6.7,0.17,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,6
white,8.66,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6
white,7.3,0.26,0.08,5.2,0.04,31,141,0.9931,3.16,0.59,11,6
white,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6
white,7.8,0.28,0.92,2.19,0.036,182.77,115,0.9952,3.17,0.39,10.3,7
white,6.1,0.31,0.26,2.2,0.14,28,167,0.9926,3.37,0.47,10.4,6
white,6.8,0.18,0.37,1.6,0.055,47,154,1.01,3.08,0.45,9.1,5
white,4.26,0.15,0.42,1.7,0.045,49,154,1.01,3,0.6,9.18,6
white,,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6
white,7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5
white,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
white,7.9,,0.26,2.1,0.09,8,143,1.01,3.05,0.74,9.8,5
white,6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
white,5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,6
white,5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
white,5.9,0.97,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6
white,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
white,6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.94,12.6,6
white,5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6
white,13.8,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6
white,6.4,0.1,0.35,4.9,0.048,31,103,1,3.43,0.79,9.7,6
white,6.4,0.18,0.48,4,0.186,155.8,150,0.9945,3.06,0.4,9.3,5
white,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,1.29,9,6
white,7.4,0.25,0.36,13.2,0.067,53,178,0.99,3.01,0.48,9,6
white,7.4,0.25,0.36,13.2,0.067,53,178,1.03,3.01,0.48,9,6
white,7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,11.49,5
white,7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
white,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
white,6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5
white,5.71,0.25,0.24,4.55,0.053,207.08,211,0.9955,3.37,0.67,9.5,6
white,12.37,0.31,0.31,9.9,0.04,10,93.15,0.9953,3.46,0.55,11.4,4
red,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,11.37,5
white,5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
white,4.98,0.24,0.41,8.7,0.32,275.86,148,0.9952,3.22,0.62,9.9,6
white,11.79,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,11.29,6
white,6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
red,6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
white,7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6
white,6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.27,0.33,13.92,7
white,7.2,0.46,0.65,10.4,0.05,76,192,0.99,3.16,0.42,8.7,5
red,7,0.3,0.51,13.6,0.05,40,168,0.9976,2.87,0.52,9.6,7
white,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
white,7.8,0.28,0.34,28.76,0.028,32,118,0.9901,3,0.38,12.1,7
white,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
white,7.8,0.28,0.34,1.6,0.028,32,118,0.99,3,0.38,12.1,7
white,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
white,8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5
white,6.1,0.41,0.24,37.26,0.049,191.06,137,0.993,3.79,0.5,10.4,6
white,5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5
red,7.2,0.34,0.79,4.2,0.48,51,144,0.991,3.01,0.76,12.3,6
white,6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
white,5.9,0.79,0.1,1.6,0.057,39,128,1.02,3.24,0.48,10.1,5
white,7.7,0.34,0.01,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6
white,7.4,0.3,0.22,1.4,0.55,16,135,0.9928,3.08,0.77,10.4,7
white,6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5
white,7.8,0.22,0.38,10.3,0.059,28,163.25,0.9967,3.12,0.47,9.32,6
white,7.2,0.13,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
white,6,1.29,0.5,56.36,0.048,59,153,0.9928,3.78,0.61,9.8,5
white,6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.11,6
white,8.21,0.28,0.27,5.2,0.47,44,179,0.9948,3.19,0.69,9.4,6
white,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
white,6.5,0.28,1.62,2.7,0.42,26,107,0.9912,3.32,0.41,11.6,7
white,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
white,7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.82,0.39,12.7,7
white,4.49,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,7
white,8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,6
white,8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,1.19,10.2,6
white,7.1,1.22,0.33,2.8,0.033,48,40.12,0.9899,3.15,0.38,12.7,7
white,6.5,0.9,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
white,6,0.38,0.36,6,0.034,42,134,0.9912,3.38,0.27,12.3,7
white,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
white,5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
white,11.33,0.3,0.22,6.4,0.056,224.72,168,0.9947,3.13,0.35,10.1,6
white,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
white,6.6,0.31,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7
white,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
white,7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.5,8.9,6
white,6.1,0.32,0.25,1.7,0.034,37,364.57,0.992,,0.5,10.8,7
white,6.9,0.64,0.27,2.1,0.036,238.34,121,0.9926,3.42,0.49,10.8,7
white,7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,1.18,9.5,6
white,7.1,0.31,1.42,14.5,0.059,168.67,148,0.9983,2.94,0.44,11.35,5
white,7.3,0.2,0.37,1.2,0.037,48,119,1.02,3.32,0.49,10.9,6
white,6.9,0.41,0.33,10.1,0.08,28,152,1.01,3.2,0.52,9.4,5
white,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
white,6.4,0.475,0.06,1,0.03,9,131,0.9904,3.01,0.29,10.8,5
white,6.3,0.27,0.38,0.9,0.051,7,64.85,0.9926,3.48,0.5,10.5,7
white,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
white,7,0.29,0.37,4.9,0.034,26,232.75,0.9928,3.92,0.44,10.8,6
white,5.9,0.27,0.29,11.4,0.036,31,115,1,3.35,1.15,10.42,8
white,6.9,0.19,0.4,1.4,0.036,14,55,1.02,3.08,1.04,11.5,7
white,6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6
white,7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6
white,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
red,6.4,0.475,0.06,1,0.2,240.36,131,0.9904,2.97,1.69,10.8,5
white,6.3,0.26,0.49,1.5,0.052,169.27,134,0.9924,2.99,1.61,9.8,6
white,6.3,0.26,0.49,1.5,0.052,24.52,134,0.9924,2.99,0.61,9.8,6
white,7.3,0.25,0.21,7.5,0.51,38,158,1.02,3.43,0.38,9.6,5
white,7.3,0.25,0.29,7.5,0.049,38,276.3,0.9965,3.43,0.38,8.28,5
white,6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
white,7.4,0.37,0.35,5.7,0.53,12,94,0.9965,3.48,0.69,10.7,6
white,6.5,0.36,0.28,34.04,0.037,236.69,119,0.9908,3.25,0.65,12.4,8
white,7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6
white,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
white,10.09,1.19,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
white,7.5,0.21,0.68,37.77,0.045,38,133,0.9978,3,0.36,8.7,5
white,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
white,7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
white,7.8,1.27,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6
white,7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,1.41,10.8,6
white,7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,6
white,6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
white,6.5,,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,5
white,5.3,0.32,1.64,6.6,0.043,22,141,0.9937,3.36,0.6,8.58,6
white,7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5
white,6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5
